dlga_start:blocked_agent|Bu kişi meşgule benziyor. Belki de devam etsem iyi olacak...
dlga_blocked_agent:close_window|Özür dilerim. Sizi rahatsız etmek istemedim.
dlga_blocked_agent:close_window.1|[Sadece Ayrıl]
dlga_start:close_window.1|Annenin yanına gidip Valhalla'ya giderken kullanabileceği bir şey vermelisin.
dlga_start:close_window.2|Yanında bir kızla gelecek birisini bekliyorum. Gördünüz mü?
dlga_start:close_window.3|Ah, sen {playername}'{.sın}. Thonkrik buraya geleceğini söylemişti. Gemiye bin. Adamlarımla beraber sana ne kadar kolay yol aldığını göstereceğiz.
dlga_start:port_chief_travel|Selam! Başka bir kasabaya mı gitmek istiyorsun?
dlga_start:close_window.4|Lütfen herkes gemiye binene kadar bekle.
dlga_start:port_chief2|{s1}
dlga_port_chief2:port_chief3|Neye ihtiyacın var?
dlga_port_chief3:port_chief_fleet1|Selamlar. Englaland'a doğru yola çıkacak olan Boğa Boyunlu Sven ve Harald Haraldsson'un filosuna katılmaya geldim.
dlga_port_chief3:port_chief_bodoletter1|Atli Eriksson adında bir adam bir süre önce bu limandan ayrıldı. Nereye gittiğini biliyor musun?
dlga_port_chief3:port_chief_pieles|Derileri Hogni'ye verdim, şimdi sıra sende. Atli Eiriksson nerede?
dlga_port_chief3:port_chief_catach|Gleann Da Loch'taydım ve 'The Cathach of Colum Cille'ı aldım.
dlga_port_chief3:port_chief_catach32|Ne yazık ki, Gleann Da Loch çok uzak. Onun yerine para versem?
dlga_port_chief3:port_chief_svenlair|Ne istediğimi biliyorsun. Boğa Boyunlu Sven'in sığınağı nerede?
dlga_port_chief3:port_chief_buy_ship|Bir gemi satın almak istiyorum.
dlga_port_chief_buy_ship:close_window|Beni izle!
dlga_port_chief3:port_chief_info_main|Gemiler ve deniz yolculuğu hakkında bazı sorularım var.
dlga_port_chief_info_main:port_chief_info_main_1|Ne bilmek istiyorsun?
dlga_port_chief_info_main_1:port_chief_info_a_1|İnsanlar neden denize çıkıyorlar?
dlga_port_chief_info_main_1:port_chief_info_b_1|Denizde yolumu nasıl bulurum?
