menu_start_game_0|Bienvenido a Viking Conquest.
menu_start_phase_2|{s1}
mno_continue_i|Continuar...
mno_continue_cheat|Saltarse el tutorial.
mno_go_back_dot|Volver.
menu_start_game_3|Elegir escenario:
mno_go_back|Volver.
menu_tutorial|Te acercas a un campo donde los lugareños entrenan con armas. Puedes practicar en él para mejorar sus habilidades de lucha.
mno_continue|Continuar...
menu_reports|Renombre: {reg5}^Honra: {reg6}^Moral de la hueste: {reg8}^Límite del tamaño de la hueste: {reg7}^
mno_resume_travelling|Reanudar el viaje.
menu_start_phase_2x|Atrás
menu_start_phase_22|{s1}
mno_town_4|Continuar.
menu_custom_battle_scene|(NO TRANS) 
menu_custom_battle_end|La lucha ha terminado. {s1} Tu bando ha matado {reg5} enemigos y perdido {reg6} efectivos en la contienda. Tú mataste a {reg7} hombres en fragor del combate.
menu_start_game_2|Bienvenido a Viking Conquest.
menu_start_game_1|Bienvenido a Viking Conquest.
menu_start_game_11|¿Salir?
menu_start_game_4|Has tomado algunas decisiones. No podrás cambiarlas una vez que comience el juego. ¿Te gustaría guardarlas y continuar?
menu_past_life_explanation|{s3}
mno_view_next|{s5}
menu_morale_report_obsolete|{s1}
mno_continue_rep|Continuar...
menu_courtship_relations|{s1}
menu_lord_relations|{s1}
menu_companion_report|{s7}{s1}
menu_character_report|{s9}
menu_party_size_report|{s1}
menu_faction_relations_report|{s1}
menu_camp|Montaste un campamento. ¿Qué quieres hacer?
mno_camp_action|Realizar una acción.
mno_camp_wait_here|Aguardar aquí un tiempo.
menu_camp_action_rest|Acampar permite a tus hombres descansar por un tiempo y recuperarse de las fatigas del viaje. También os permite forrajear y así hacer acopio de alimentos. Esto resulta especialmente útil cuando realizas una campaña en territorio enemigo, donde es más difícil comprar suministros.
menu_build_refuge_new|Tus hombres esperan órdenes para empezar a construir el refugio. Hay reunido suficiente material de construcción, y lo que falte se puede adquirir en los pueblos cercanos.^^Coste Total: 1.000 peniques.^Tiempo necesario: 6 horas.
mno_refuge_here|Ordenar.
menu_camp_cheat|Seleccionar un truco:
mno_camp_cheat_find_item|Encontrar un objeto...
mno_testing_cheats|Trucos de uso rápido.
mno_back_to_camp_menu|Volver a menu de campamento.
menu_cheat_testing_cheats1|Seleccionar un truco:
menu_storyline_cheat|Seleccionar un truco:
mno_back_cm|Volver.
menu_camp_action|Escoger una acción:
mno_toggle_cheat_on| Cambiar a menú de trucos activado.
mno_toggle_cheat_off| Cambiar a menú de trucos desactivado.
mno_camp_action_4|Volver a menú de campamento.
menu_camp_recruit_prisoners|Ofrecer la libertad a los prisioneros si aceptan acompañarte como guerreros. {s18}
mno_camp_recruit_prisoners_accept|Llevarselos.
mno_camp_recruit_prisoners_half|Tomar la mitad.
mno_camp_recruit_prisoners_reject|Rechazarlos.
menu_camp_no_prisoners|No tienes prisioneros que reclutar.
menu_camp_action_read_book|Elegir un libro para leer:
mno_action_read_book_1|{s1}.
mno_action_read_book_2|{s1}.
mno_action_read_book_3|{s1}.
mno_action_read_book_4|{s1}.
mno_action_read_book_5|{s1}.
mno_action_read_book_6|{s1}.
mno_action_read_book_7|{s1}.
menu_camp_action_read_book_start|{s1}
