dlga_start:blocked_agent|Esta persona parece ocupada, quizás debería marcharme....,,,,,,,,,,,,,,,
dlga_blocked_agent:close_window|Lo siento, no quería molestarte.,,,,,,,,,,,,,,,
dlga_blocked_agent:close_window.1|[Marchar],,,,,,,,,,,,,,,,
dlga_start:dog_talk_2|¡{s1}!,,,,,,,,,,,,,,,,
dlga_dog_talk_1:dog_talk_2|¡{s1}!,,,,,,,,,,,,,,,,
dlga_dog_talk_2:close_window|¡Aquí!,,,,,,,,,,,,,,,,
dlga_dog_talk_2:close_window.1|¡Adelante, {s1}, adelante!,,,,,,,,,,,,,,
dlga_dog_talk_2:close_window.2|¡{s1},para!,,,,,,,,,,,,,,,
dlga_dog_talk_2:dog_talk_pretrain|Aquí tengo algo para ti...,,,,,,,,,,,,,,,,
dlga_dog_talk_2:close_window.3|Te llamaré...,,,,,,,,,,,,,,,,
dlga_dog_talk_2:close_window.4|¡Perro malo! ¡Vete! ¡Ya no te quiero más!,,,,,,,,,,,,,,,,
dlga_dog_talk_2:close_window.5|¡Déjalo caer!,,,,,,,,,,,,,,,,
dlga_start:dog_talk_recruit|,,,,,,,,,,,,,,,,
dlga_dog_talk_recruit:dog_talk_1|¡Aquí, toma una salchicha!,,,,,,,,,,,,,,,
dlga_dog_talk_recruit:close_window|¡Buen perro!,,,,,,,,,,,,,,,,
dlga_dog_talk_recruit:close_window.1|¡Largo!,,,,,,,,,,,,,,,,
dlga_dog_talk_pretrain:dog_talk_train|Aquí tengo algo para ti...,,,,,,,,,,,,,,,,
dlga_dog_talk_train:dog_talk_pretrain|No pareces sano. ¡Aquí tienes un {s7}!,,,,,,,,,,,,,,,,
dlga_dog_talk_train:dog_talk_pretrain.1|¡Toma, este {s7} te hará más fuerte!,,,,,,,,,,,,,,,
dlga_dog_talk_train:dog_talk_pretrain.2|Quiero que seas más resistente. Toma algunos {s7}. ¡Te vendrán bien!,,,,,,,,,,,,,,,,
dlga_dog_talk_train:dog_talk_pretrain.3|Estás demasiado delgado. ¡Toma algunos {s7}!,,,,,,,,,,,,,,,,
dlga_dog_talk_train:dog_talk_pretrain.4|Podrías ser más rápido, amigo. ¡Toma algunos {s7}!,,,,,,,,,,,,,,,
